id,timestamp,sensor_value,timestamp_hour,rolling_mean_1h,zone,z_score
SNS-20250901-3000011,2025-09-01T10:00:00Z,234.97,10,243.98,zone3,-0.6
SNS-20250901-4000011,2025-09-01T10:00:00Z,810.97,10,803.9,zone4,0.14
SNS-20250901-1000012,2025-09-01T11:00:00Z,147.37,11,151.58,zone1,-0.18
SNS-20250901-2000012,2025-09-01T11:00:00Z,70.7,11,73.79,zone2,-1.16
SNS-20250901-3000012,2025-09-01T11:00:00Z,222.78,11,223.55,zone3,-1.09
SNS-20250901-4000012,2025-09-01T11:00:00Z,1473.19,11,1468.19,zone4,8.41
SNS-20250901-1000013,2025-09-01T12:00:00Z,141.46,12,138.49,zone1,-0.57
SNS-20250901-2000013,2025-09-01T12:00:00Z,88.09,12,88.74,zone2,1.01
SNS-20250901-3000013,2025-09-01T12:00:00Z,257.77,12,257.54,zone3,0.31
SNS-20250901-4000013,2025-09-01T12:00:00Z,913.76,12,905.66,zone4,1.42
SNS-20250901-1000014,2025-09-01T13:00:00Z,131.21,13,137.58,zone1,-1.25
SNS-20250901-2000014,2025-09-01T13:00:00Z,82.23,13,91.09,zone2,0.28
SNS-20250901-3000014,2025-09-01T13:00:00Z,227.32,13,235.07,zone3,-0.91
SNS-20250901-4000014,2025-09-01T13:00:00Z,826.99,13,818.82,zone4,0.34
SNS-20250901-1000015,2025-09-01T14:00:00Z,120.05,14,127.94,zone1,-2.0
SNS-20250901-2000015,2025-09-01T14:00:00Z,76.18,14,70.91,zone2,-0.48
SNS-20250901-3000015,2025-09-01T14:00:00Z,279.3,14,274.1,zone3,1.17
SNS-20250901-4000015,2025-09-01T14:00:00Z,627.46,14,629.0,zone4,-2.16
SNS-20250901-1000016,2025-09-01T15:00:00Z,128.48,15,121.06,zone1,-1.43
SNS-20250901-2000016,2025-09-01T15:00:00Z,80.5,15,70.78,zone2,0.06
SNS-20250901-3000016,2025-09-01T15:00:00Z,257.14,15,255.69,zone3,0.29
SNS-20250901-4000016,2025-09-01T15:00:00Z,689.94,15,680.02,zone4,-1.38
SNS-20250901-1000017,2025-09-01T16:00:00Z,158.92,16,160.57,zone1,0.59
SNS-20250901-2000017,2025-09-01T16:00:00Z,91.16,16,83.95,zone2,1.39
SNS-20250901-3000017,2025-09-01T16:00:00Z,273.36,16,280.47,zone3,0.93
SNS-20250901-4000017,2025-09-01T16:00:00Z,904.67,16,904.76,zone4,1.31
SNS-20250901-1000018,2025-09-01T17:00:00Z,172.41,17,170.52,zone1,1.49
SNS-20250901-2000018,2025-09-01T17:00:00Z,94.37,17,87.38,zone2,1.8
SNS-20250901-3000018,2025-09-01T17:00:00Z,257.25,17,253.1,zone3,0.29
SNS-20250901-4000018,2025-09-01T17:00:00Z,788.85,17,795.27,zone4,-0.14
SNS-20250901-1000019,2025-09-01T18:00:00Z,133.01,18,125.26,zone1,-1.13
SNS-20250901-2000019,2025-09-01T18:00:00Z,82.78,18,89.17,zone2,0.35
SNS-20250901-3000019,2025-09-01T18:00:00Z,266.53,18,258.18,zone3,0.66
SNS-20250901-4000019,2025-09-01T18:00:00Z,821.59,18,829.35,zone4,0.27
SNS-20250901-1000020,2025-09-01T19:00:00Z,151.52,19,143.04,zone1,0.1
SNS-20250901-2000020,2025-09-01T19:00:00Z,85.37,19,93.4,zone2,0.67
SNS-20250901-3000020,2025-09-01T19:00:00Z,216.61,19,224.69,zone3,-1.34
SNS-20250901-4000020,2025-09-01T19:00:00Z,785.64,19,787.9,zone4,-0.18
SNS-20250901-1000021,2025-09-01T20:00:00Z,126.7,20,129.13,zone1,-1.55
SNS-20250901-2000021,2025-09-01T20:00:00Z,82.03,20,89.33,zone2,0.25
SNS-20250901-3000021,2025-09-01T20:00:00Z,273.62,20,266.53,zone3,0.94
SNS-20250901-4000021,2025-09-01T20:00:00Z,858.19,20,867.27,zone4,0.73
SNS-20250901-1000022,2025-09-01T21:00:00Z,137.62,21,129.09,zone1,-0.83
SNS-20250901-2000022,2025-09-01T21:00:00Z,81.02,21,82.5,zone2,0.13
SNS-20250901-3000022,2025-09-01T21:00:00Z,208.03,21,200.98,zone3,-1.68
SNS-20250901-4000022,2025-09-01T21:00:00Z,1515.41,21,1510.6,zone4,8.94
SNS-20250901-1000023,2025-09-01T22:00:00Z,148.7,22,151.89,zone1,-0.09
SNS-20250901-2000023,2025-09-01T22:00:00Z,125.66,22,117.13,zone2,5.71
SNS-20250901-3000023,2025-09-01T22:00:00Z,301.15,22,308.6,zone3,2.05
SNS-20250901-4000023,2025-09-01T22:00:00Z,748.3,22,744.58,zone4,-0.65
SNS-20250901-1000024,2025-09-01T23:00:00Z,165.47,23,162.65,zone1,1.03
SNS-20250901-2000024,2025-09-01T23:00:00Z,73.59,23,70.92,zone2,-0.8
SNS-20250901-3000024,2025-09-01T23:00:00Z,252.16,23,252.68,zone3,0.09
SNS-20250901-4000024,2025-09-01T23:00:00Z,1504.47,23,1511.4,zone4,8.81
SNS-20250902-1000025,2025-09-02T00:00:00Z,262.78,0,259.94,zone1,7.52
SNS-20250902-2000025,2025-09-02T00:00:00Z,78.32,0,81.46,zone2,-0.21
SNS-20250902-3000025,2025-09-02T00:00:00Z,273.39,0,265.43,zone3,0.94
SNS-20250902-4000025,2025-09-02T00:00:00Z,799.31,0,796.21,zone4,-0.01
SNS-20250902-1000026,2025-09-02T01:00:00Z,170.65,1,165.48,zone1,1.38
SNS-20250902-2000026,2025-09-02T01:00:00Z,89.41,1,81.95,zone2,1.18
SNS-20250902-3000026,2025-09-02T01:00:00Z,228.29,1,229.68,zone3,-0.87
SNS-20250902-4000026,2025-09-02T01:00:00Z,916.25,1,917.15,zone4,1.45
SNS-20250902-1000027,2025-09-02T02:00:00Z,127.49,2,118.33,zone1,-1.5
SNS-20250902-2000027,2025-09-02T02:00:00Z,78.27,2,87.5,zone2,-0.22
SNS-20250902-3000027,2025-09-02T02:00:00Z,230.77,2,232.44,zone3,-0.77
SNS-20250902-4000027,2025-09-02T02:00:00Z,961.19,2,966.23,zone4,2.01
SNS-20250902-1000028,2025-09-02T03:00:00Z,143.46,3,147.17,zone1,-0.44
SNS-20250902-2000028,2025-09-02T03:00:00Z,67.92,3,65.29,zone2,-1.51
SNS-20250902-3000028,2025-09-02T03:00:00Z,253.63,3,254.36,zone3,0.15
SNS-20250902-4000028,2025-09-02T03:00:00Z,899.36,3,904.51,zone4,1.24
SNS-20250902-1000029,2025-09-02T04:00:00Z,135.43,4,134.92,zone1,-0.97
SNS-20250902-2000029,2025-09-02T04:00:00Z,87.27,4,83.71,zone2,0.91
SNS-20250902-3000029,2025-09-02T04:00:00Z,285.01,4,278.57,zone3,1.4
SNS-20250902-4000029,2025-09-02T04:00:00Z,804.64,4,811.83,zone4,0.06
SNS-20250902-1000030,2025-09-02T05:00:00Z,148.34,5,147.26,zone1,-0.11
SNS-20250902-2000030,2025-09-02T05:00:00Z,75.85,5,77.14,zone2,-0.52
SNS-20250902-3000030,2025-09-02T05:00:00Z,226.21,5,220.87,zone3,-0.95
SNS-20250902-4000030,2025-09-02T05:00:00Z,826.05,5,816.19,zone4,0.33
SNS-20250902-1000031,2025-09-02T06:00:00Z,149.18,6,155.14,zone1,-0.05
SNS-20250902-2000031,2025-09-02T06:00:00Z,78.22,6,85.36,zone2,-0.22
SNS-20250902-3000031,2025-09-02T06:00:00Z,287.74,6,287.45,zone3,1.51
SNS-20250902-4000031,2025-09-02T06:00:00Z,803.7,6,799.77,zone4,0.05
SNS-20250902-1000032,2025-09-02T07:00:00Z,124.55,7,119.27,zone1,-1.7
SNS-20250902-2000032,2025-09-02T07:00:00Z,83.74,7,81.85,zone2,0.47
SNS-20250902-3000032,2025-09-02T07:00:00Z,292.98,7,302.19,zone3,1.72
SNS-20250902-4000032,2025-09-02T07:00:00Z,744.13,7,749.91,zone4,-0.7
SNS-20250902-1000033,2025-09-02T08:00:00Z,163.48,8,163.61,zone1,0.9
SNS-20250902-2000033,2025-09-02T08:00:00Z,79.06,8,78.07,zone2,-0.12
SNS-20250902-3000033,2025-09-02T08:00:00Z,251.63,8,261.27,zone3,0.07
SNS-20250902-4000033,2025-09-02T08:00:00Z,773.89,8,767.1,zone4,-0.33
SNS-20250902-1000034,2025-09-02T09:00:00Z,163.84,9,170.07,zone1,0.92
SNS-20250902-2000034,2025-09-02T09:00:00Z,87.15,9,87.85,zone2,0.89
SNS-20250902-3000034,2025-09-02T09:00:00Z,200.21,9,191.38,zone3,-1.99
SNS-20250902-4000034,2025-09-02T09:00:00Z,839.67,9,840.25,zone4,0.5
SNS-20250902-1000035,2025-09-02T10:00:00Z,118.75,10,113.57,zone1,-2.08
SNS-20250902-2000035,2025-09-02T10:00:00Z,74.28,10,67.93,zone2,-0.71
SNS-20250902-3000035,2025-09-02T10:00:00Z,281.81,10,282.53,zone3,1.27
SNS-20250902-4000035,2025-09-02T10:00:00Z,1613.7,10,1620.88,zone4,10.17
SNS-20250902-1000036,2025-09-02T11:00:00Z,310.58,11,319.74,zone1,10.71
SNS-20250902-2000036,2025-09-02T11:00:00Z,75.71,11,76.07,zone2,-0.54
SNS-20250902-3000036,2025-09-02T11:00:00Z,224.67,11,230.68,zone3,-1.01
SNS-20250902-4000036,2025-09-02T11:00:00Z,775.07,11,783.36,zone4,-0.31
SNS-20250902-1000037,2025-09-02T12:00:00Z,156.95,12,158.21,zone1,0.46
SNS-20250902-2000037,2025-09-02T12:00:00Z,76.77,12,77.8,zone2,-0.4
SNS-20250902-3000037,2025-09-02T12:00:00Z,279.65,12,288.69,zone3,1.19
SNS-20250902-4000037,2025-09-02T12:00:00Z,811.96,12,813.98,zone4,0.15
SNS-20250902-1000038,2025-09-02T13:00:00Z,136.73,13,142.17,zone1,-0.88
SNS-20250902-2000038,2025-09-02T13:00:00Z,74.61,13,81.16,zone2,-0.67
SNS-20250902-3000038,2025-09-02T13:00:00Z,241.01,13,234.46,zone3,-0.36
SNS-20250902-4000038,2025-09-02T13:00:00Z,762.62,13,752.68,zone4,-0.47
SNS-20250902-1000039,2025-09-02T14:00:00Z,151.25,14,148.63,zone1,0.08
SNS-20250902-2000039,2025-09-02T14:00:00Z,70.85,14,69.03,zone2,-1.14
SNS-20250902-3000039,2025-09-02T14:00:00Z,229.72,14,237.89,zone3,-0.81
SNS-20250902-4000039,2025-09-02T14:00:00Z,754.45,14,750.66,zone4,-0.57
SNS-20250902-1000040,2025-09-02T15:00:00Z,156.83,15,147.1,zone1,0.46
SNS-20250902-2000040,2025-09-02T15:00:00Z,72.58,15,65.19,zone2,-0.93
SNS-20250902-3000040,2025-09-02T15:00:00Z,266.72,15,262.45,zone3,0.67
SNS-20250902-4000040,2025-09-02T15:00:00Z,680.01,15,685.05,zone4,-1.5
SNS-20250902-1000041,2025-09-02T16:00:00Z,138.48,16,142.05,zone1,-0.77
SNS-20250902-2000041,2025-09-02T16:00:00Z,73.59,16,75.64,zone2,-0.8
SNS-20250902-3000041,2025-09-02T16:00:00Z,235.15,16,236.72,zone3,-0.59
SNS-20250902-4000041,2025-09-02T16:00:00Z,852.1,16,854.03,zone4,0.65
SNS-20250902-1000042,2025-09-02T17:00:00Z,170.94,17,172.26,zone1,1.4
SNS-20250902-2000042,2025-09-02T17:00:00Z,79.13,17,88.95,zone2,-0.11
SNS-20250902-3000042,2025-09-02T17:00:00Z,268.03,17,274.35,zone3,0.72
SNS-20250902-4000042,2025-09-02T17:00:00Z,707.62,17,709.06,zone4,-1.15
SNS-20250902-1000043,2025-09-02T18:00:00Z,115.26,18,123.12,zone1,-2.32
SNS-20250902-2000043,2025-09-02T18:00:00Z,82.98,18,91.64,zone2,0.37
SNS-20250902-3000043,2025-09-02T18:00:00Z,260.9,18,267.26,zone3,0.44
SNS-20250902-4000043,2025-09-02T18:00:00Z,772.18,18,776.54,zone4,-0.35
SNS-20250902-1000044,2025-09-02T19:00:00Z,154.91,19,163.66,zone1,0.33
SNS-20250902-2000044,2025-09-02T19:00:00Z,95.36,19,88.15,zone2,1.92
SNS-20250902-3000044,2025-09-02T19:00:00Z,219.01,19,227.9,zone3,-1.24
SNS-20250902-4000044,2025-09-02T19:00:00Z,979.25,19,981.15,zone4,2.24
SNS-20250902-1000045,2025-09-02T20:00:00Z,133.9,20,140.45,zone1,-1.07
SNS-20250902-2000045,2025-09-02T20:00:00Z,83.4,20,93.04,zone2,0.43
SNS-20250902-3000045,2025-09-02T20:00:00Z,210.24,20,202.78,zone3,-1.59
SNS-20250902-4000045,2025-09-02T20:00:00Z,663.13,20,657.01,zone4,-1.71
SNS-20250902-1000046,2025-09-02T21:00:00Z,135.36,21,142.65,zone1,-0.98
SNS-20250902-2000046,2025-09-02T21:00:00Z,81.72,21,90.1,zone2,0.21
SNS-20250902-3000046,2025-09-02T21:00:00Z,235.29,21,240.56,zone3,-0.59
SNS-20250902-4000046,2025-09-02T21:00:00Z,727.89,21,731.16,zone4,-0.9
SNS-20250902-1000047,2025-09-02T22:00:00Z,138.96,22,134.27,zone1,-0.74
SNS-20250902-2000047,2025-09-02T22:00:00Z,80.58,22,78.83,zone2,0.07
SNS-20250902-3000047,2025-09-02T22:00:00Z,226.47,22,235.56,zone3,-0.94
SNS-20250902-4000047,2025-09-02T22:00:00Z,774.73,22,777.91,zone4,-0.32
SNS-20250902-1000048,2025-09-02T23:00:00Z,160.54,23,161.74,zone1,0.7
SNS-20250902-2000048,2025-09-02T23:00:00Z,101.42,23,109.47,zone2,2.68
SNS-20250902-3000048,2025-09-02T23:00:00Z,241.73,23,248.57,zone3,-0.33
SNS-20250902-4000048,2025-09-02T23:00:00Z,691.77,23,684.73,zone4,-1.35
SNS-20250903-1000049,2025-09-03T00:00:00Z,164.35,0,158.99,zone1,0.96
SNS-20250903-2000049,2025-09-03T00:00:00Z,82.5,0,87.63,zone2,0.31
SNS-20250903-3000049,2025-09-03T00:00:00Z,278.5,0,280.59,zone3,1.14
SNS-20250903-4000049,2025-09-03T00:00:00Z,873.19,0,882.29,zone4,0.91
SNS-20250903-1000050,2025-09-03T01:00:00Z,169.28,1,170.03,zone1,1.29
SNS-20250903-2000050,2025-09-03T01:00:00Z,75.48,1,80.82,zone2,-0.56
SNS-20250903-3000050,2025-09-03T01:00:00Z,276.63,1,282.07,zone3,1.07
SNS-20250903-4000050,2025-09-03T01:00:00Z,1205.99,1,1214.63,zone4,5.07
SNS-20250903-1000051,2025-09-03T02:00:00Z,162.02,2,167.41,zone1,0.8
SNS-20250903-2000051,2025-09-03T02:00:00Z,85.42,2,80.04,zone2,0.68
SNS-20250903-3000051,2025-09-03T02:00:00Z,250.77,2,249.58,zone3,0.03
SNS-20250903-4000051,2025-09-03T02:00:00Z,810.46,2,810.98,zone4,0.13
SNS-20250903-1000052,2025-09-03T03:00:00Z,157.82,3,154.98,zone1,0.52
SNS-20250903-2000052,2025-09-03T03:00:00Z,83.0,3,91.53,zone2,0.38
SNS-20250903-3000052,2025-09-03T03:00:00Z,278.58,3,275.5,zone3,1.14
SNS-20250903-4000052,2025-09-03T03:00:00Z,830.14,3,823.61,zone4,0.38
SNS-20250903-1000053,2025-09-03T04:00:00Z,141.29,4,131.42,zone1,-0.58
SNS-20250903-2000053,2025-09-03T04:00:00Z,84.94,4,83.19,zone2,0.62
SNS-20250903-3000053,2025-09-03T04:00:00Z,257.39,4,250.25,zone3,0.3
SNS-20250903-4000053,2025-09-03T04:00:00Z,1857.19,4,1859.16,zone4,13.21
SNS-20250903-1000054,2025-09-03T05:00:00Z,164.36,5,160.7,zone1,0.96
SNS-20250903-2000054,2025-09-03T05:00:00Z,76.87,5,69.57,zone2,-0.39
SNS-20250903-3000054,2025-09-03T05:00:00Z,487.27,5,478.71,zone3,9.49
SNS-20250903-4000054,2025-09-03T05:00:00Z,854.41,5,847.19,zone4,0.68
SNS-20250903-1000055,2025-09-03T06:00:00Z,152.3,6,144.43,zone1,0.15
SNS-20250903-2000055,2025-09-03T06:00:00Z,80.4,6,81.65,zone2,0.05
SNS-20250903-3000055,2025-09-03T06:00:00Z,271.64,6,274.73,zone3,0.87
SNS-20250903-4000055,2025-09-03T06:00:00Z,798.92,6,802.79,zone4,-0.01
SNS-20250903-1000056,2025-09-03T07:00:00Z,148.04,7,147.85,zone1,-0.13
SNS-20250903-2000056,2025-09-03T07:00:00Z,83.18,7,80.51,zone2,0.4
SNS-20250903-3000056,2025-09-03T07:00:00Z,230.76,7,232.82,zone3,-0.77
SNS-20250903-4000056,2025-09-03T07:00:00Z,801.85,7,792.86,zone4,0.02
SNS-20250903-1000057,2025-09-03T08:00:00Z,138.89,8,146.31,zone1,-0.74
SNS-20250903-2000057,2025-09-03T08:00:00Z,86.4,8,90.53,zone2,0.8
SNS-20250903-3000057,2025-09-03T08:00:00Z,280.88,8,274.61,zone3,1.24
SNS-20250903-4000057,2025-09-03T08:00:00Z,770.4,8,777.1,zone4,-0.37
SNS-20250903-1000058,2025-09-03T09:00:00Z,138.61,9,131.14,zone1,-0.76
SNS-20250903-2000058,2025-09-03T09:00:00Z,78.58,9,77.69,zone2,-0.18
SNS-20250903-3000058,2025-09-03T09:00:00Z,214.94,9,218.4,zone3,-1.4
SNS-20250903-4000058,2025-09-03T09:00:00Z,802.11,9,799.74,zone4,0.03
SNS-20250903-1000059,2025-09-03T10:00:00Z,170.38,10,170.18,zone1,1.36
SNS-20250903-2000059,2025-09-03T10:00:00Z,78.46,10,71.47,zone2,-0.19
SNS-20250903-3000059,2025-09-03T10:00:00Z,250.8,10,252.66,zone3,0.03
SNS-20250903-4000059,2025-09-03T10:00:00Z,752.88,10,757.94,zone4,-0.59
SNS-20250903-1000060,2025-09-03T11:00:00Z,169.67,11,175.36,zone1,1.31
SNS-20250903-2000060,2025-09-03T11:00:00Z,78.24,11,82.97,zone2,-0.22
SNS-20250903-3000060,2025-09-03T11:00:00Z,242.38,11,239.86,zone3,-0.3
SNS-20250903-4000060,2025-09-03T11:00:00Z,778.54,11,769.42,zone4,-0.27
SNS-20250903-1000061,2025-09-03T12:00:00Z,130.06,12,128.12,zone1,-1.33
SNS-20250903-2000061,2025-09-03T12:00:00Z,79.09,12,82.49,zone2,-0.11
SNS-20250903-3000061,2025-09-03T12:00:00Z,279.74,12,280.46,zone3,1.19
SNS-20250903-4000061,2025-09-03T12:00:00Z,732.33,12,737.22,zone4,-0.85
SNS-20250903-1000062,2025-09-03T13:00:00Z,151.28,13,150.19,zone1,0.09
SNS-20250903-2000062,2025-09-03T13:00:00Z,89.22,13,93.68,zone2,1.15
SNS-20250903-3000062,2025-09-03T13:00:00Z,255.89,13,260.5,zone3,0.24
SNS-20250903-4000062,2025-09-03T13:00:00Z,772.66,13,771.65,zone4,-0.34
SNS-20250903-1000063,2025-09-03T14:00:00Z,161.87,14,164.31,zone1,0.79
SNS-20250903-2000063,2025-09-03T14:00:00Z,83.85,14,83.89,zone2,0.48
SNS-20250903-3000063,2025-09-03T14:00:00Z,251.71,14,256.61,zone3,0.07
SNS-20250903-4000063,2025-09-03T14:00:00Z,964.77,14,959.51,zone4,2.06
SNS-20250903-1000064,2025-09-03T15:00:00Z,135.45,15,130.47,zone1,-0.97
SNS-20250903-2000064,2025-09-03T15:00:00Z,70.87,15,77.86,zone2,-1.14
SNS-20250903-3000064,2025-09-03T15:00:00Z,248.57,15,251.61,zone3,-0.06
SNS-20250903-4000064,2025-09-03T15:00:00Z,842.7,15,850.34,zone4,0.53
SNS-20250903-1000065,2025-09-03T16:00:00Z,158.79,16,157.04,zone1,0.59
SNS-20250903-2000065,2025-09-03T16:00:00Z,87.38,16,84.55,zone2,0.92
SNS-20250903-3000065,2025-09-03T16:00:00Z,260.49,16,254.02,zone3,0.42
SNS-20250903-4000065,2025-09-03T16:00:00Z,718.14,16,709.52,zone4,-1.02
SNS-20250903-1000066,2025-09-03T17:00:00Z,185.99,17,188.9,zone1,2.4
SNS-20250903-2000066,2025-09-03T17:00:00Z,72.7,17,65.9,zone2,-0.91
SNS-20250903-3000066,2025-09-03T17:00:00Z,273.19,17,278.61,zone3,0.93
SNS-20250903-4000066,2025-09-03T17:00:00Z,790.31,17,785.78,zone4,-0.12
SNS-20250903-1000067,2025-09-03T18:00:00Z,160.2,18,151.07,zone1,0.68
SNS-20250903-2000067,2025-09-03T18:00:00Z,86.74,18,88.42,zone2,0.84
SNS-20250903-3000067,2025-09-03T18:00:00Z,235.49,18,239.42,zone3,-0.58
SNS-20250903-4000067,2025-09-03T18:00:00Z,854.73,18,849.37,zone4,0.68
SNS-20250903-1000068,2025-09-03T19:00:00Z,124.22,19,122.64,zone1,-1.72
SNS-20250903-2000068,2025-09-03T19:00:00Z,87.55,19,94.66,zone2,0.94
SNS-20250903-3000068,2025-09-03T19:00:00Z,247.51,19,250.54,zone3,-0.1
SNS-20250903-4000068,2025-09-03T19:00:00Z,847.64,19,854.0,zone4,0.6
SNS-20250903-1000069,2025-09-03T20:00:00Z,130.58,20,137.05,zone1,-1.29
SNS-20250903-2000069,2025-09-03T20:00:00Z,86.57,20,93.07,zone2,0.82
SNS-20250903-3000069,2025-09-03T20:00:00Z,262.19,20,263.39,zone3,0.49
SNS-20250903-4000069,2025-09-03T20:00:00Z,924.29,20,926.92,zone4,1.55
SNS-20250903-1000070,2025-09-03T21:00:00Z,154.05,21,144.94,zone1,0.27
SNS-20250903-2000070,2025-09-03T21:00:00Z,77.61,21,78.62,zone2,-0.3
SNS-20250903-3000070,2025-09-03T21:00:00Z,267.07,21,264.35,zone3,0.68
SNS-20250903-4000070,2025-09-03T21:00:00Z,680.74,21,677.81,zone4,-1.49
SNS-20250903-1000071,2025-09-03T22:00:00Z,144.35,22,139.34,zone1,-0.38
SNS-20250903-2000071,2025-09-03T22:00:00Z,81.19,22,77.83,zone2,0.15
SNS-20250903-3000071,2025-09-03T22:00:00Z,229.59,22,226.87,zone3,-0.82
SNS-20250903-4000071,2025-09-03T22:00:00Z,838.01,22,839.76,zone4,0.48
SNS-20250903-1000072,2025-09-03T23:00:00Z,145.1,23,138.41,zone1,-0.33
SNS-20250903-2000072,2025-09-03T23:00:00Z,87.25,23,89.66,zone2,0.91
SNS-20250903-3000072,2025-09-03T23:00:00Z,214.37,23,217.34,zone3,-1.43
SNS-20250903-4000072,2025-09-03T23:00:00Z,795.32,23,800.62,zone4,-0.06
SNS-20250904-1000073,2025-09-04T00:00:00Z,148.87,0,155.43,zone1,-0.08
SNS-20250904-2000073,2025-09-04T00:00:00Z,76.38,0,83.23,zone2,-0.45
SNS-20250904-3000073,2025-09-04T00:00:00Z,252.56,0,248.85,zone3,0.1
SNS-20250904-4000073,2025-09-04T00:00:00Z,767.98,0,772.45,zone4,-0.4
SNS-20250904-1000074,2025-09-04T01:00:00Z,170.56,1,166.96,zone1,1.37
SNS-20250904-2000074,2025-09-04T01:00:00Z,81.59,1,78.19,zone2,0.2
SNS-20250904-3000074,2025-09-04T01:00:00Z,212.45,1,208.91,zone3,-1.5
SNS-20250904-4000074,2025-09-04T01:00:00Z,888.23,1,895.87,zone4,1.1
SNS-20250904-1000075,2025-09-04T02:00:00Z,155.72,2,164.53,zone1,0.38
SNS-20250904-2000075,2025-09-04T02:00:00Z,69.42,2,64.76,zone2,-1.32
SNS-20250904-3000075,2025-09-04T02:00:00Z,234.15,2,238.33,zone3,-0.63
SNS-20250904-4000075,2025-09-04T02:00:00Z,883.81,2,889.98,zone4,1.05
SNS-20250904-1000076,2025-09-04T03:00:00Z,141.96,3,147.33,zone1,-0.54
SNS-20250904-2000076,2025-09-04T03:00:00Z,91.49,3,87.98,zone2,1.44
SNS-20250904-3000076,2025-09-04T03:00:00Z,281.98,3,284.85,zone3,1.28
SNS-20250904-4000076,2025-09-04T03:00:00Z,722.24,3,731.9,zone4,-0.97
SNS-20250904-1000077,2025-09-04T04:00:00Z,151.45,4,157.51,zone1,0.1
SNS-20250904-2000077,2025-09-04T04:00:00Z,76.09,4,83.68,zone2,-0.49
