id,timestamp,hour,day_of_week,temperature,prev_demand,zone,power_demand
PWR-20250902-3000029,2025-09-02T04:00:00Z,4,1,27.6,83.92,zone3,106.62
PWR-20250902-4000029,2025-09-02T04:00:00Z,4,1,27.6,1274.69,zone4,1316.38
PWR-20250902-1000030,2025-09-02T05:00:00Z,5,1,25.3,249.27,zone1,278.28
PWR-20250902-2000030,2025-09-02T05:00:00Z,5,1,25.3,103.36,zone2,90.48
PWR-20250902-3000030,2025-09-02T05:00:00Z,5,1,25.3,92.81,zone3,130.72
PWR-20250902-4000030,2025-09-02T05:00:00Z,5,1,25.3,1192.16,zone4,1279.67
PWR-20250902-1000031,2025-09-02T06:00:00Z,6,1,21.2,303.61,zone1,280.52
PWR-20250902-2000031,2025-09-02T06:00:00Z,6,1,21.2,69.78,zone2,41.94
PWR-20250902-3000031,2025-09-02T06:00:00Z,6,1,21.2,116.86,zone3,128.6
PWR-20250902-4000031,2025-09-02T06:00:00Z,6,1,21.2,1184.16,zone4,1293.09
PWR-20250902-1000032,2025-09-02T07:00:00Z,7,1,20.9,348.87,zone1,361.85
PWR-20250902-2000032,2025-09-02T07:00:00Z,7,1,20.9,60.28,zone2,85.98
PWR-20250902-3000032,2025-09-02T07:00:00Z,7,1,20.9,119.01,zone3,133.09
PWR-20250902-4000032,2025-09-02T07:00:00Z,7,1,20.9,1400.22,zone4,1475.42
PWR-20250902-1000033,2025-09-02T08:00:00Z,8,1,34.8,284.28,zone1,335.49
PWR-20250902-2000033,2025-09-02T08:00:00Z,8,1,34.8,81.06,zone2,58.02
PWR-20250902-3000033,2025-09-02T08:00:00Z,8,1,34.8,510.3,zone3,568.87
PWR-20250902-4000033,2025-09-02T08:00:00Z,8,1,34.8,1360.46,zone4,1438.24
PWR-20250902-1000034,2025-09-02T09:00:00Z,9,1,34.5,235.95,zone1,270.6
PWR-20250902-2000034,2025-09-02T09:00:00Z,9,1,34.5,101.3,zone2,74.21
PWR-20250902-3000034,2025-09-02T09:00:00Z,9,1,34.5,584.94,zone3,604.92
PWR-20250902-4000034,2025-09-02T09:00:00Z,9,1,34.5,1212.34,zone4,1338.58
PWR-20250902-1000035,2025-09-02T10:00:00Z,10,1,28.7,159.85,zone1,176.28
PWR-20250902-2000035,2025-09-02T10:00:00Z,10,1,28.7,85.79,zone2,83.42
PWR-20250902-3000035,2025-09-02T10:00:00Z,10,1,28.7,330.11,zone3,339.14
PWR-20250902-4000035,2025-09-02T10:00:00Z,10,1,28.7,1456.08,zone4,1513.85
PWR-20250902-1000036,2025-09-02T11:00:00Z,11,1,28.9,248.76,zone1,243.22
PWR-20250902-2000036,2025-09-02T11:00:00Z,11,1,28.9,72.99,zone2,55.92
PWR-20250902-3000036,2025-09-02T11:00:00Z,11,1,28.9,416.78,zone3,429.06
PWR-20250902-4000036,2025-09-02T11:00:00Z,11,1,28.9,1382.78,zone4,1450.12
PWR-20250902-1000037,2025-09-02T12:00:00Z,12,1,35.2,270.77,zone1,313.57
PWR-20250902-2000037,2025-09-02T12:00:00Z,12,1,35.2,34.91,zone2,55.5
PWR-20250902-3000037,2025-09-02T12:00:00Z,12,1,35.2,603.01,zone3,642.54
PWR-20250902-4000037,2025-09-02T12:00:00Z,12,1,35.2,1151.13,zone4,1190.53
PWR-20250902-1000038,2025-09-02T13:00:00Z,13,1,29.5,237.25,zone1,241.49
PWR-20250902-2000038,2025-09-02T13:00:00Z,13,1,29.5,48.59,zone2,37.0
PWR-20250902-3000038,2025-09-02T13:00:00Z,13,1,29.5,368.37,zone3,394.06
PWR-20250902-4000038,2025-09-02T13:00:00Z,13,1,29.5,1186.04,zone4,1258.88
PWR-20250902-1000039,2025-09-02T14:00:00Z,14,1,33.3,282.54,zone1,329.16
PWR-20250902-2000039,2025-09-02T14:00:00Z,14,1,33.3,87.06,zone2,99.91
PWR-20250902-3000039,2025-09-02T14:00:00Z,14,1,33.3,539.09,zone3,562.26
PWR-20250902-4000039,2025-09-02T14:00:00Z,14,1,33.3,1433.49,zone4,1514.06
PWR-20250902-1000040,2025-09-02T15:00:00Z,15,1,29.8,170.83,zone1,161.65
PWR-20250902-2000040,2025-09-02T15:00:00Z,15,1,29.8,103.98,zone2,132.25
PWR-20250902-3000040,2025-09-02T15:00:00Z,15,1,29.8,354.08,zone3,382.79
PWR-20250902-4000040,2025-09-02T15:00:00Z,15,1,29.8,1238.47,zone4,1289.73
PWR-20250902-1000041,2025-09-02T16:00:00Z,16,1,33.5,261.09,zone1,278.48
PWR-20250902-2000041,2025-09-02T16:00:00Z,16,1,33.5,66.3,zone2,60.9
PWR-20250902-3000041,2025-09-02T16:00:00Z,16,1,33.5,595.46,zone3,651.26
PWR-20250902-4000041,2025-09-02T16:00:00Z,16,1,33.5,1342.73,zone4,1449.26
PWR-20250902-1000042,2025-09-02T17:00:00Z,17,1,29.4,235.6,zone1,217.2
PWR-20250902-2000042,2025-09-02T17:00:00Z,17,1,29.4,85.66,zone2,31.54
PWR-20250902-3000042,2025-09-02T17:00:00Z,17,1,29.4,367.11,zone3,400.33
PWR-20250902-4000042,2025-09-02T17:00:00Z,17,1,29.4,1501.76,zone4,1590.56
PWR-20250902-1000043,2025-09-02T18:00:00Z,18,1,20.5,281.73,zone1,299.23
PWR-20250902-2000043,2025-09-02T18:00:00Z,18,1,20.5,173.65,zone2,150.05
PWR-20250902-3000043,2025-09-02T18:00:00Z,18,1,20.5,488.62,zone3,546.34
PWR-20250902-4000043,2025-09-02T18:00:00Z,18,1,20.5,1250.01,zone4,1318.44
PWR-20250902-1000044,2025-09-02T19:00:00Z,19,1,26.5,309.71,zone1,369.77
PWR-20250902-2000044,2025-09-02T19:00:00Z,19,1,26.5,153.38,zone2,125.08
PWR-20250902-3000044,2025-09-02T19:00:00Z,19,1,26.5,115.42,zone3,160.14
PWR-20250902-4000044,2025-09-02T19:00:00Z,19,1,26.5,1299.46,zone4,1364.47
PWR-20250902-1000045,2025-09-02T20:00:00Z,20,1,24.3,267.82,zone1,263.42
PWR-20250902-2000045,2025-09-02T20:00:00Z,20,1,24.3,96.93,zone2,119.47
PWR-20250902-3000045,2025-09-02T20:00:00Z,20,1,24.3,139.53,zone3,115.56
PWR-20250902-4000045,2025-09-02T20:00:00Z,20,1,24.3,1445.75,zone4,1498.47
PWR-20250902-1000046,2025-09-02T21:00:00Z,21,1,26.6,294.54,zone1,296.41
PWR-20250902-2000046,2025-09-02T21:00:00Z,21,1,26.6,113.5,zone2,108.58
PWR-20250902-3000046,2025-09-02T21:00:00Z,21,1,26.6,100.46,zone3,101.92
PWR-20250902-4000046,2025-09-02T21:00:00Z,21,1,26.6,1299.78,zone4,1361.97
PWR-20250902-1000047,2025-09-02T22:00:00Z,22,1,27.6,264.53,zone1,266.05
PWR-20250902-2000047,2025-09-02T22:00:00Z,22,1,27.6,112.29,zone2,114.44
PWR-20250902-3000047,2025-09-02T22:00:00Z,22,1,27.6,131.23,zone3,119.61
PWR-20250902-4000047,2025-09-02T22:00:00Z,22,1,27.6,1101.45,zone4,1163.96
PWR-20250902-1000048,2025-09-02T23:00:00Z,23,1,23.3,328.5,zone1,380.7
PWR-20250902-2000048,2025-09-02T23:00:00Z,23,1,23.3,57.92,zone2,52.37
PWR-20250902-3000048,2025-09-02T23:00:00Z,23,1,23.3,120.77,zone3,151.88
PWR-20250902-4000048,2025-09-02T23:00:00Z,23,1,23.3,1492.99,zone4,1583.05
PWR-20250903-1000049,2025-09-03T00:00:00Z,0,2,24.0,201.53,zone1,238.23
PWR-20250903-2000049,2025-09-03T00:00:00Z,0,2,24.0,78.51,zone2,95.82
PWR-20250903-3000049,2025-09-03T00:00:00Z,0,2,24.0,82.38,zone3,103.16
PWR-20250903-4000049,2025-09-03T00:00:00Z,0,2,24.0,1378.91,zone4,1462.99
PWR-20250903-1000050,2025-09-03T01:00:00Z,1,2,27.3,190.52,zone1,179.25
PWR-20250903-2000050,2025-09-03T01:00:00Z,1,2,27.3,43.81,zone2,59.57
PWR-20250903-3000050,2025-09-03T01:00:00Z,1,2,27.3,61.11,zone3,83.02
PWR-20250903-4000050,2025-09-03T01:00:00Z,1,2,27.3,1372.71,zone4,1448.81
PWR-20250903-1000051,2025-09-03T02:00:00Z,2,2,20.4,156.2,zone1,148.43
PWR-20250903-2000051,2025-09-03T02:00:00Z,2,2,20.4,46.89,zone2,26.11
PWR-20250903-3000051,2025-09-03T02:00:00Z,2,2,20.4,120.47,zone3,81.53
PWR-20250903-4000051,2025-09-03T02:00:00Z,2,2,20.4,1373.47,zone4,1442.3
PWR-20250903-1000052,2025-09-03T03:00:00Z,3,2,27.5,167.68,zone1,214.93
PWR-20250903-2000052,2025-09-03T03:00:00Z,3,2,27.5,76.55,zone2,41.6
PWR-20250903-3000052,2025-09-03T03:00:00Z,3,2,27.5,82.7,zone3,120.49
PWR-20250903-4000052,2025-09-03T03:00:00Z,3,2,27.5,1271.53,zone4,1365.18
PWR-20250903-1000053,2025-09-03T04:00:00Z,4,2,21.9,206.26,zone1,168.72
PWR-20250903-2000053,2025-09-03T04:00:00Z,4,2,21.9,72.18,zone2,41.83
PWR-20250903-3000053,2025-09-03T04:00:00Z,4,2,21.9,100.19,zone3,149.88
PWR-20250903-4000053,2025-09-03T04:00:00Z,4,2,21.9,1317.43,zone4,1371.46
PWR-20250903-1000054,2025-09-03T05:00:00Z,5,2,20.0,254.92,zone1,263.01
PWR-20250903-2000054,2025-09-03T05:00:00Z,5,2,20.0,85.35,zone2,87.62
PWR-20250903-3000054,2025-09-03T05:00:00Z,5,2,20.0,79.29,zone3,75.92
PWR-20250903-4000054,2025-09-03T05:00:00Z,5,2,20.0,1386.03,zone4,1430.98
PWR-20250903-1000055,2025-09-03T06:00:00Z,6,2,24.2,271.34,zone1,282.34
PWR-20250903-2000055,2025-09-03T06:00:00Z,6,2,24.2,70.52,zone2,103.79
PWR-20250903-3000055,2025-09-03T06:00:00Z,6,2,24.2,89.01,zone3,75.52
PWR-20250903-4000055,2025-09-03T06:00:00Z,6,2,24.2,1543.2,zone4,1626.64
PWR-20250903-1000056,2025-09-03T07:00:00Z,7,2,25.9,347.57,zone1,359.18
PWR-20250903-2000056,2025-09-03T07:00:00Z,7,2,25.9,65.46,zone2,57.86
PWR-20250903-3000056,2025-09-03T07:00:00Z,7,2,25.9,118.15,zone3,162.98
PWR-20250903-4000056,2025-09-03T07:00:00Z,7,2,25.9,1451.73,zone4,1507.25
PWR-20250903-1000057,2025-09-03T08:00:00Z,8,2,27.9,287.33,zone1,347.16
PWR-20250903-2000057,2025-09-03T08:00:00Z,8,2,27.9,110.79,zone2,92.32
PWR-20250903-3000057,2025-09-03T08:00:00Z,8,2,27.9,369.05,zone3,430.29
PWR-20250903-4000057,2025-09-03T08:00:00Z,8,2,27.9,1287.84,zone4,1306.11
PWR-20250903-1000058,2025-09-03T09:00:00Z,9,2,26.6,194.45,zone1,215.39
PWR-20250903-2000058,2025-09-03T09:00:00Z,9,2,26.6,63.6,zone2,36.92
PWR-20250903-3000058,2025-09-03T09:00:00Z,9,2,26.6,467.39,zone3,514.02
PWR-20250903-4000058,2025-09-03T09:00:00Z,9,2,26.6,1215.0,zone4,1283.29
PWR-20250903-1000059,2025-09-03T10:00:00Z,10,2,31.0,246.63,zone1,281.58
PWR-20250903-2000059,2025-09-03T10:00:00Z,10,2,31.0,43.58,zone2,21.1
PWR-20250903-3000059,2025-09-03T10:00:00Z,10,2,31.0,383.62,zone3,413.02
PWR-20250903-4000059,2025-09-03T10:00:00Z,10,2,31.0,1578.15,zone4,1621.55
PWR-20250903-1000060,2025-09-03T11:00:00Z,11,2,33.9,244.0,zone1,221.23
PWR-20250903-2000060,2025-09-03T11:00:00Z,11,2,33.9,81.38,zone2,86.55
PWR-20250903-3000060,2025-09-03T11:00:00Z,11,2,33.9,551.29,zone3,547.34
PWR-20250903-4000060,2025-09-03T11:00:00Z,11,2,33.9,1237.85,zone4,1314.68
PWR-20250903-1000061,2025-09-03T12:00:00Z,12,2,33.3,293.33,zone1,320.19
PWR-20250903-2000061,2025-09-03T12:00:00Z,12,2,33.3,66.67,zone2,63.44
PWR-20250903-3000061,2025-09-03T12:00:00Z,12,2,33.3,592.04,zone3,590.53
PWR-20250903-4000061,2025-09-03T12:00:00Z,12,2,33.3,1558.22,zone4,1688.09
PWR-20250903-1000062,2025-09-03T13:00:00Z,13,2,33.5,258.01,zone1,261.63
PWR-20250903-2000062,2025-09-03T13:00:00Z,13,2,33.5,64.84,zone2,102.21
PWR-20250903-3000062,2025-09-03T13:00:00Z,13,2,33.5,444.99,zone3,500.13
PWR-20250903-4000062,2025-09-03T13:00:00Z,13,2,33.5,1346.07,zone4,1395.98
PWR-20250903-1000063,2025-09-03T14:00:00Z,14,2,34.2,195.51,zone1,209.81
PWR-20250903-2000063,2025-09-03T14:00:00Z,14,2,34.2,100.15,zone2,90.76
PWR-20250903-3000063,2025-09-03T14:00:00Z,14,2,34.2,492.75,zone3,536.03
PWR-20250903-4000063,2025-09-03T14:00:00Z,14,2,34.2,1545.39,zone4,1637.68
PWR-20250903-1000064,2025-09-03T15:00:00Z,15,2,33.3,297.07,zone1,347.86
PWR-20250903-2000064,2025-09-03T15:00:00Z,15,2,33.3,73.55,zone2,13.67
PWR-20250903-3000064,2025-09-03T15:00:00Z,15,2,33.3,601.89,zone3,636.47
PWR-20250903-4000064,2025-09-03T15:00:00Z,15,2,33.3,1333.76,zone4,1410.95
PWR-20250903-1000065,2025-09-03T16:00:00Z,16,2,26.8,184.9,zone1,194.76
PWR-20250903-2000065,2025-09-03T16:00:00Z,16,2,26.8,79.66,zone2,115.07
PWR-20250903-3000065,2025-09-03T16:00:00Z,16,2,26.8,447.3,zone3,479.9
PWR-20250903-4000065,2025-09-03T16:00:00Z,16,2,26.8,1150.0,zone4,1197.54
PWR-20250903-1000066,2025-09-03T17:00:00Z,17,2,35.8,219.4,zone1,220.17
PWR-20250903-2000066,2025-09-03T17:00:00Z,17,2,35.8,72.99,zone2,31.11
PWR-20250903-3000066,2025-09-03T17:00:00Z,17,2,35.8,545.84,zone3,552.32
PWR-20250903-4000066,2025-09-03T17:00:00Z,17,2,35.8,1474.99,zone4,1526.97
PWR-20250903-1000067,2025-09-03T18:00:00Z,18,2,20.4,267.14,zone1,288.32
PWR-20250903-2000067,2025-09-03T18:00:00Z,18,2,20.4,138.42,zone2,132.31
PWR-20250903-3000067,2025-09-03T18:00:00Z,18,2,20.4,402.39,zone3,430.51
PWR-20250903-4000067,2025-09-03T18:00:00Z,18,2,20.4,1477.15,zone4,1563.98
PWR-20250903-1000068,2025-09-03T19:00:00Z,19,2,21.4,314.34,zone1,322.42
PWR-20250903-2000068,2025-09-03T19:00:00Z,19,2,21.4,113.27,zone2,113.88
PWR-20250903-3000068,2025-09-03T19:00:00Z,19,2,21.4,127.13,zone3,145.15
PWR-20250903-4000068,2025-09-03T19:00:00Z,19,2,21.4,1313.45,zone4,1384.96
PWR-20250903-1000069,2025-09-03T20:00:00Z,20,2,24.5,274.75,zone1,315.65
PWR-20250903-2000069,2025-09-03T20:00:00Z,20,2,24.5,126.72,zone2,111.61
PWR-20250903-3000069,2025-09-03T20:00:00Z,20,2,24.5,91.31,zone3,143.68
PWR-20250903-4000069,2025-09-03T20:00:00Z,20,2,24.5,1338.96,zone4,1425.72
PWR-20250903-1000070,2025-09-03T21:00:00Z,21,2,21.3,272.31,zone1,290.45
PWR-20250903-2000070,2025-09-03T21:00:00Z,21,2,21.3,124.82,zone2,174.07
PWR-20250903-3000070,2025-09-03T21:00:00Z,21,2,21.3,137.56,zone3,137.08
PWR-20250903-4000070,2025-09-03T21:00:00Z,21,2,21.3,1129.44,zone4,1203.69
PWR-20250903-1000071,2025-09-03T22:00:00Z,22,2,27.7,287.96,zone1,305.59
PWR-20250903-2000071,2025-09-03T22:00:00Z,22,2,27.7,139.72,zone2,119.76
PWR-20250903-3000071,2025-09-03T22:00:00Z,22,2,27.7,101.58,zone3,90.37
PWR-20250903-4000071,2025-09-03T22:00:00Z,22,2,27.7,1109.77,zone4,1224.27
PWR-20250903-1000072,2025-09-03T23:00:00Z,23,2,20.0,293.3,zone1,270.39
PWR-20250903-2000072,2025-09-03T23:00:00Z,23,2,20.0,69.43,zone2,47.56
PWR-20250903-3000072,2025-09-03T23:00:00Z,23,2,20.0,100.11,zone3,89.99
PWR-20250903-4000072,2025-09-03T23:00:00Z,23,2,20.0,1335.63,zone4,1400.02
PWR-20250904-1000073,2025-09-04T00:00:00Z,0,3,20.2,243.52,zone1,237.03
PWR-20250904-2000073,2025-09-04T00:00:00Z,0,3,20.2,66.37,zone2,104.44
PWR-20250904-3000073,2025-09-04T00:00:00Z,0,3,20.2,128.27,zone3,162.34
PWR-20250904-4000073,2025-09-04T00:00:00Z,0,3,20.2,1469.76,zone4,1535.54
PWR-20250904-1000074,2025-09-04T01:00:00Z,1,3,25.6,214.88,zone1,246.43
