id,timestamp,voltage,current,power_factor,temperature,humidity,zone,grid_status
GRD-20250903-1000051,2025-09-03T02:00:00Z,215.96,34.49,0.91,27.6,82.3,zone1,Normal
GRD-20250903-2000051,2025-09-03T02:00:00Z,213.92,12.68,0.83,27.6,82.3,zone2,Warning
GRD-20250903-3000051,2025-09-03T02:00:00Z,218.06,61.51,0.89,27.6,82.3,zone3,Normal
GRD-20250903-4000051,2025-09-03T02:00:00Z,208.94,168.55,0.73,27.6,82.3,zone4,Critical
GRD-20250903-1000052,2025-09-03T03:00:00Z,223.28,33.42,0.92,25.9,66.1,zone1,Normal
GRD-20250903-2000052,2025-09-03T03:00:00Z,223.8,7.4,0.88,25.9,66.1,zone2,Normal
GRD-20250903-3000052,2025-09-03T03:00:00Z,224.48,84.96,0.88,25.9,66.1,zone3,Normal
GRD-20250903-4000052,2025-09-03T03:00:00Z,199.2,275.51,0.9,25.9,66.1,zone4,Warning
GRD-20250903-1000053,2025-09-03T04:00:00Z,222.46,39.61,0.92,33.4,87.7,zone1,Normal
GRD-20250903-2000053,2025-09-03T04:00:00Z,216.34,5.04,0.81,33.4,87.7,zone2,Warning
GRD-20250903-3000053,2025-09-03T04:00:00Z,211.04,58.96,0.93,33.4,87.7,zone3,Normal
GRD-20250903-4000053,2025-09-03T04:00:00Z,219.45,255.28,0.84,33.4,87.7,zone4,Warning
GRD-20250903-1000054,2025-09-03T05:00:00Z,223.98,26.09,0.93,31.4,57.0,zone1,Normal
GRD-20250903-2000054,2025-09-03T05:00:00Z,211.79,14.39,0.94,31.4,57.0,zone2,Normal
GRD-20250903-3000054,2025-09-03T05:00:00Z,221.68,48.98,0.92,31.4,57.0,zone3,Normal
GRD-20250903-4000054,2025-09-03T05:00:00Z,206.23,193.15,0.73,31.4,57.0,zone4,Critical
GRD-20250903-1000055,2025-09-03T06:00:00Z,222.45,28.52,0.97,27.4,52.1,zone1,Normal
GRD-20250903-2000055,2025-09-03T06:00:00Z,213.61,9.06,0.9,27.4,52.1,zone2,Normal
GRD-20250903-3000055,2025-09-03T06:00:00Z,222.93,69.51,0.85,27.4,52.1,zone3,Normal
GRD-20250903-4000055,2025-09-03T06:00:00Z,219.85,239.86,0.72,27.4,52.1,zone4,Critical
GRD-20250903-1000056,2025-09-03T07:00:00Z,215.81,30.93,0.99,26.0,51.1,zone1,Normal
GRD-20250903-2000056,2025-09-03T07:00:00Z,224.49,19.37,0.95,26.0,51.1,zone2,Normal
GRD-20250903-3000056,2025-09-03T07:00:00Z,226.84,55.73,0.89,26.0,51.1,zone3,Normal
GRD-20250903-4000056,2025-09-03T07:00:00Z,207.81,183.63,0.9,26.0,51.1,zone4,Normal
GRD-20250903-1000057,2025-09-03T08:00:00Z,220.2,49.07,0.91,30.9,68.4,zone1,Normal
GRD-20250903-2000057,2025-09-03T08:00:00Z,216.9,21.21,0.84,30.9,68.4,zone2,Warning
GRD-20250903-3000057,2025-09-03T08:00:00Z,226.94,99.42,0.86,30.9,68.4,zone3,Normal
GRD-20250903-4000057,2025-09-03T08:00:00Z,219.85,164.81,0.87,30.9,68.4,zone4,Normal
GRD-20250903-1000058,2025-09-03T09:00:00Z,221.92,21.41,0.93,27.0,68.9,zone1,Normal
GRD-20250903-2000058,2025-09-03T09:00:00Z,208.06,6.9,0.87,27.0,68.9,zone2,Normal
GRD-20250903-3000058,2025-09-03T09:00:00Z,213.45,63.6,0.89,27.0,68.9,zone3,Normal
GRD-20250903-4000058,2025-09-03T09:00:00Z,208.1,243.07,0.91,27.0,68.9,zone4,Normal
GRD-20250903-1000059,2025-09-03T10:00:00Z,217.6,22.16,0.96,24.0,55.2,zone1,Normal
GRD-20250903-2000059,2025-09-03T10:00:00Z,214.99,9.2,0.89,24.0,55.2,zone2,Normal
GRD-20250903-3000059,2025-09-03T10:00:00Z,218.69,55.37,0.88,24.0,55.2,zone3,Normal
GRD-20250903-4000059,2025-09-03T10:00:00Z,219.27,292.37,0.81,24.0,55.2,zone4,Warning
GRD-20250903-1000060,2025-09-03T11:00:00Z,220.18,43.96,0.98,32.4,51.0,zone1,Normal
GRD-20250903-2000060,2025-09-03T11:00:00Z,221.84,8.74,0.89,32.4,51.0,zone2,Normal
GRD-20250903-3000060,2025-09-03T11:00:00Z,223.28,40.56,0.88,32.4,51.0,zone3,Normal
GRD-20250903-4000060,2025-09-03T11:00:00Z,216.06,157.17,0.79,32.4,51.0,zone4,Critical
GRD-20250903-1000061,2025-09-03T12:00:00Z,214.27,16.9,0.97,24.3,77.2,zone1,Normal
GRD-20250903-2000061,2025-09-03T12:00:00Z,217.57,11.56,0.88,24.3,77.2,zone2,Normal
GRD-20250903-3000061,2025-09-03T12:00:00Z,218.43,72.31,0.87,24.3,77.2,zone3,Normal
GRD-20250903-4000061,2025-09-03T12:00:00Z,221.71,209.75,0.91,24.3,77.2,zone4,Normal
GRD-20250903-1000062,2025-09-03T13:00:00Z,218.11,28.94,0.94,35.4,66.8,zone1,Normal
GRD-20250903-2000062,2025-09-03T13:00:00Z,210.05,16.45,0.92,35.4,66.8,zone2,Normal
GRD-20250903-3000062,2025-09-03T13:00:00Z,214.83,56.76,0.88,35.4,66.8,zone3,Normal
GRD-20250903-4000062,2025-09-03T13:00:00Z,217.26,236.71,0.79,35.4,66.8,zone4,Critical
GRD-20250903-1000063,2025-09-03T14:00:00Z,218.79,35.69,0.92,33.7,63.9,zone1,Normal
GRD-20250903-2000063,2025-09-03T14:00:00Z,223.6,22.2,0.84,33.7,63.9,zone2,Warning
GRD-20250903-3000063,2025-09-03T14:00:00Z,216.12,61.88,0.89,33.7,63.9,zone3,Normal
GRD-20250903-4000063,2025-09-03T14:00:00Z,199.56,120.19,0.92,33.7,63.9,zone4,Warning
GRD-20250903-1000064,2025-09-03T15:00:00Z,222.64,33.28,0.95,34.6,70.5,zone1,Normal
